GET    /v1/catalogos | operationId=obterTodosRegistros_10 | params=statusAtivo[query]:boolean
POST   /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/arquivos | operationId=inserirArquivo_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, Titulo-Documento[header]*:string, Tipo-Documento-Id[header]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/arquivos/excluidos/{sequencialDocumento} | operationId=recuperarArquivo_2 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/arquivos/quantidade | operationId=recuperarContratoDocumentoQuantidade | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
DELETE /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/arquivos/{sequencialDocumento} | operationId=removerDocumentoContrato_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/arquivos/{sequencialDocumento} | operationId=recuperarArquivo_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/empenhos | operationId=consultarEmpenhosDoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/empenhos | operationId=inserirEmpenho | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
DELETE /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/empenhos/{sequencialEmpenho} | operationId=excluirEmpenhoDeContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialEmpenho[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/empenhos/{sequencialEmpenho} | operationId=consultarEmpenhoPeloNumeroSequencial | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialEmpenho[path]*:integer
PATCH  /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/empenhos/{sequencialEmpenho} | operationId=retificarEmpenho | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialEmpenho[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/historico | operationId=consultarContrato_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/historico/quantidade | operationId=consultarContrato_2 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos | operationId=recuperarTermosContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos | operationId=inserirTermoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/quantidade | operationId=recuperarQuantidadeTermosContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
DELETE /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermoContrato} | operationId=removerContrato_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermoContrato[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermoContrato} | operationId=recuperarTermoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermoContrato[path]*:integer
PUT    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermoContrato} | operationId=retificarTermoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermoContrato[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermo}/arquivos | operationId=recuperarInformacoesDocumentosTermoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermo[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
